shortname,PR,CL ,avgscore,I,longname,wc,republic,kingdom,democratic,state,people,united,islamic,arab,feder
Afghanistan,5,5,5,PF,Islamic Republic of Afghanistan,4,1,0,0,0,0,0,1,0,0
Albania,3,3,3,PF,Republic of Albania,3,1,0,0,0,0,0,0,0,0
Algeria,6,5,5.5,NF,People's Democratic Republic of Algeria,5,1,0,1,0,1,0,0,0,0
Andorra,1,1,1,F,Principality of Andorra,3,0,0,0,0,0,0,0,0,0
Angola,6,5,5.5,NF,Republic of Angola,3,1,0,0,0,0,0,0,0,0
Antigua & Barbuda,2,2,2,F,Antigua & Barbuda,3,0,0,0,0,0,0,0,0,0
Argentina,2,2,2,F,Argentine Republic,2,1,0,0,0,0,0,0,0,0
Armenia,5,4,4.5,PF,Republic of Armenia,3,1,0,0,0,0,0,0,0,0
Australia,1,1,1,F,Commonwealth of Australia,3,0,0,0,0,0,0,0,0,0
Austria,1,1,1,F,Republic of Austria,3,1,0,0,0,0,0,0,0,0
Azerbaijan,6,5,5.5,NF,Republic of Azerbaijan,3,1,0,0,0,0,0,0,0,0
Bahamas,1,1,1,F,Commonwealth of The Bahamas,4,0,0,0,0,0,0,0,0,0
Bahrain,5,5,5,PF,Kingdom of Bahrain,3,0,1,0,0,0,0,0,0,0
Bangladesh,4,4,4,PF,People's Republic of Bangladesh,4,1,0,0,0,1,0,0,0,0
Barbados,1,1,1,F,Barbados,1,0,0,0,0,0,0,0,0,0
Belarus,7,6,6.5,NF,Republic of Belarus,3,1,0,0,0,0,0,0,0,0
Belgium,1,1,1,F,Kingdom of Belgium,3,0,1,0,0,0,0,0,0,0
Belize,1,2,1.5,F,Belize,1,0,0,0,0,0,0,0,0,0
Benin,2,2,2,F,Republic of Benin,3,1,0,0,0,0,0,0,0,0
Bhutan,6,5,5.5,NF,Kingdom of Bhutan,3,0,1,0,0,0,0,0,0,0
Bolivia,3,3,3,PF,Republic of Bolivia,3,1,0,0,0,0,0,0,0,0
Bosnia-Herzegovina,3,3,3,PF,Bosnia-Herzegovina,1,0,0,0,0,0,0,0,0,0
Botswana,2,2,2,F,Republic of Botswana,3,1,0,0,0,0,0,0,0,0
Brazil,2,2,2,F,Federative Republic of Brazil,4,1,0,0,0,0,0,0,0,1
Brunei,6,5,5.5,NF,Negara Brunei Darussalam,3,0,0,0,0,0,0,0,0,0
Bulgaria,1,2,1.5,F,Republic of Bulgaria,3,1,0,0,0,0,0,0,0,0
Burkina Faso,5,3,4,PF,Burkina Faso,2,0,0,0,0,0,0,0,0,0
Burma,7,7,7,NF,Union of Burma,3,0,0,0,0,0,0,0,0,0
Burundi,4,5,4.5,PF,Republic of Burundi,3,1,0,0,0,0,0,0,0,0
Cambodia,6,5,5.5,NF,Kingdom of Cambodia,3,0,1,0,0,0,0,0,0,0
Cameroon,6,6,6,NF,Republic of Cameroon,3,1,0,0,0,0,0,0,0,0
Canada,1,1,1,F,Canada,1,0,0,0,0,0,0,0,0,0
Cape Verde,1,1,1,F,Republic of Cape Verde,4,1,0,0,0,0,0,0,0,0
Central African Republic,5,4,4.5,PF,Central African Republic,3,1,0,0,0,0,0,0,0,0
Chad,6,6,6,NF,Republic of Chad,3,1,0,0,0,0,0,0,0,0
Chile,1,1,1,F,Republic of Chile,3,1,0,0,0,0,0,0,0,0
China,7,6,6.5,NF,People's Republic of China,4,1,0,0,0,1,0,0,0,0
Colombia,3,3,3,PF,Republic of Colombia,3,1,0,0,0,0,0,0,0,0
Comoros,3,4,3.5,PF,Union of the Comoros,4,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),6,5,5.5,NF,Republic of the Congo,4,1,0,0,0,0,0,0,0,0
Congo (Kinshasa),5,6,5.5,NF,Democratic Republic of the Congo,5,1,0,1,0,0,0,0,0,0
Costa Rica,1,1,1,F,Republic of Costa Rica,4,1,0,0,0,0,0,0,0,0
Cote d'Ivorie,7,6,6.5,NF,Republic of Cote d'Ivoire,4,1,0,0,0,0,0,0,0,0
Croatia,2,2,2,F,Republic of Croatia,3,1,0,0,0,0,0,0,0,0
