shortname,PR,CL ,avgscore,I,longname,wc,republic,kingdom,democratic,state,people,united,islamic,arab,feder
Cuba,7,7,7,NF,Republic of Cuba,3,1,0,0,0,0,0,0,0,0
Cyprus (Greek),1,1,1,F,Republic of Cyprus,3,1,0,0,0,0,0,0,0,0
Cyprus (Turkey),..,..,#VALUE!,..,,-1,0,0,0,0,0,0,0,0,0
Czech Republic,1,1,1,F,Czech Republic,2,1,0,0,0,0,0,0,0,0
Czechoslovakia,..,..,#VALUE!,..,Czech and Slovak Federative Republic,5,1,0,0,0,0,0,0,0,1
Denmark,1,1,1,F,Kingdom of Denmark,3,0,1,0,0,0,0,0,0,0
Djibouti,5,5,5,PF,Republic of Djibouti,3,1,0,0,0,0,0,0,0,0
Dominica,1,1,1,F,Commonwealth of Dominica,3,0,0,0,0,0,0,0,0,0
Dominican Republic,2,2,2,F,Dominican Republic,2,1,0,0,0,0,0,0,0,0
East Timor,3,4,3.5,PF,Democratic Republic of Timor-Leste,4,1,0,1,0,0,0,0,0,0
Ecuador,3,3,3,PF,Republic of Ecuador,3,1,0,0,0,0,0,0,0,0
Egypt,6,5,5.5,NF,Arab Republic of Egypt,4,1,0,0,0,0,0,0,1,0
El Salvador,2,3,2.5,F,Republic of El Salvador,4,1,0,0,0,0,0,0,0,0
Equatorial Guinea,7,6,6.5,NF,Republic of Equatorial Guinea,4,1,0,0,0,0,0,0,0,0
Eritrea,7,6,6.5,NF,State of Eritrea,3,0,0,0,1,0,0,0,0,0
Estonia,1,1,1,F,Republic of Estonia,3,1,0,0,0,0,0,0,0,0
Ethiopia,5,5,5,PF,Federal Democratic Republic of Ethiopia,5,1,0,1,0,0,0,0,0,1
Fiji,6,4,5,PF,Republic of the Fiji Islands,5,1,0,0,0,0,0,0,0,0
Finland,1,1,1,F,Republic of Finland,3,1,0,0,0,0,0,0,0,0
France,1,1,1,F,French Republic,2,1,0,0,0,0,0,0,0,0
Gabon,6,4,5,PF,,0,0,0,0,0,0,0,0,0,0
"Gambia, The",5,4,4.5,PF,Republic of The Gambia,4,1,0,0,0,0,0,0,0,0
Georgia,3,3,3,PF,,0,0,0,0,0,0,0,0,0,0
Germany,1,1,1,F,Federal Republic of Germany,4,1,0,0,0,0,0,0,0,1
"Germany, E. ",..,..,#VALUE!,..,,0,0,0,0,0,0,0,0,0,0
"Germany, W. ",..,..,#VALUE!,..,,0,0,0,0,0,0,0,0,0,0
Ghana,1,2,1.5,F,Republic of Ghana,3,1,0,0,0,0,0,0,0,0
Greece,1,2,1.5,F,Hellenic Republic,2,1,0,0,0,0,0,0,0,0
Grenada,1,2,1.5,F,Grenada,1,0,0,0,0,0,0,0,0,0
Guatemala,3,4,3.5,PF,Republic of Guatemala,3,1,0,0,0,0,0,0,0,0
Guinea,6,5,5.5,NF,Republic of Guinea,3,1,0,0,0,0,0,0,0,0
Guinea-Bissau,4,4,4,PF,Republic of Guinea-Bissau,3,1,0,0,0,0,0,0,0,0
Guyana,2,3,2.5,F,Cooperative Republic of Guyana,4,1,0,0,0,0,0,0,0,0
Haiti,4,5,4.5,PF,Republic of Haiti,3,1,0,0,0,0,0,0,0,0
Honduras,3,3,3,PF,Republic of Honduras,3,1,0,0,0,0,0,0,0,0
Hungary,1,1,1,F,Republic of Hungary,3,1,0,0,0,0,0,0,0,0
Iceland,1,1,1,F,Republic of Iceland,3,1,0,0,0,0,0,0,0,0
India,2,3,2.5,F,Republic of India,3,1,0,0,0,0,0,0,0,0
Indonesia,2,3,2.5,F,Republic of Indonesia,3,1,0,0,0,0,0,0,0,0
Iran,6,6,6,NF,Islamic Republic of Iran,4,1,0,0,0,0,0,1,0,0
Iraq,6,6,6,NF,Republic of Iraq,3,1,0,0,0,0,0,0,0,0
Ireland,1,1,1,F,Ireland,1,0,0,0,0,0,0,0,0,0
Israel,1,2,1.5,F,State of Israel,3,0,0,0,1,0,0,0,0,0
Italy,1,1,1,F,Italian Republic,2,1,0,0,0,0,0,0,0,0
Jamaica,2,3,2.5,F,Jamaica,1,0,0,0,0,0,0,0,0,0
Japan,1,2,1.5,F,Japan,1,0,0,0,0,0,0,0,0,0
Jordan,5,4,4.5,PF,Hashemite Kingdom of Jordan,4,0,1,0,0,0,0,0,0,0
Kazakhstan,6,5,5.5,NF,Republic of Kazakhstan,3,1,0,0,0,0,0,0,0,0
Kenya,3,3,3,PF,Republic of Kenya,3,1,0,0,0,0,0,0,0,0
Kiribati,1,1,1,F,Republic of Kiribati,3,1,0,0,0,0,0,0,0,0
Kuwait,4,4,4,PF,State of Kuwait,3,0,0,0,1,0,0,0,0,0
Kyrgyzstan,5,4,4.5,PF,Kyrgyz Republic,2,1,0,0,0,0,0,0,0,0
Laos,7,6,6.5,NF,Lao People's Democratic Republic,4,1,0,1,0,1,0,0,0,0
Latvia,1,1,1,F,Republic of Latvia,3,1,0,0,0,0,0,0,0,0
Lebanon,5,4,4.5,PF,Lebanese Republic,2,1,0,0,0,0,0,0,0,0
Lesotho,2,3,2.5,F,Kingdom of Lesotho,3,0,1,0,0,0,0,0,0,0
Liberia,3,4,3.5,PF,Republic of Liberia,3,1,0,0,0,0,0,0,0,0
Libya,7,7,7,NF,Great Socialist People's Libyan Arab Jamahiriya,6,0,0,0,0,1,0,0,1,0
Liechtenstein,1,1,1,F,Principality of Liechtenstein,3,0,0,0,0,0,0,0,0,0
Lithuania,1,1,1,F,Republic of Lithuania,3,1,0,0,0,0,0,0,0,0
Luxembourg,1,1,1,F,Grand Duchy of Luxembourg,4,0,0,0,0,0,0,0,0,0
Macedonia,3,3,3,PF,Republic of Macedonia,3,1,0,0,0,0,0,0,0,0
Madagascar,4,3,3.5,PF,Republic of Madagascar,3,1,0,0,0,0,0,0,0,0
Malawi,3,4,3.5,PF,Republic of Malawi,3,1,0,0,0,0,0,0,0,0
Malaysia,4,4,4,PF,Malaysia,1,0,0,0,0,0,0,0,0,0
Maldives,6,5,5.5,NF,Republic of Maldives,3,1,0,0,0,0,0,0,0,0
Mali,2,3,2.5,F,Republic of Mali,3,1,0,0,0,0,0,0,0,0
Malta,1,1,1,F,Republic of Malta,3,1,0,0,0,0,0,0,0,0
Marshall Islands,1,1,1,F,Republic of the Marshall Islands,5,1,0,0,0,0,0,0,0,0
Mauritania,5,4,4.5,PF,Islamic Republic of Mauritania,4,1,0,0,0,0,0,1,0,0
Mauritius,1,2,1.5,F,Republic of Mauritius,3,1,0,0,0,0,0,0,0,0
Mexico,2,3,2.5,F,United Mexican States,3,0,0,0,1,0,1,0,0,0
Micronesia,1,1,1,F,Federated States of Micronesia,4,0,0,0,1,0,0,0,0,1
Moldova,3,4,3.5,PF,Republic of Moldova,3,1,0,0,0,0,0,0,0,0
Monaco,2,1,1.5,F,Principality of Monaco,3,0,0,0,0,0,0,0,0,0
Mongolia,2,2,2,F,Mongolia,1,0,0,0,0,0,0,0,0,0
Montenegro,3,3,3,PF,Republic of Montenegro,3,1,0,0,0,0,0,0,0,0
Morocco,5,4,4.5,PF,Kingdom of Morocco,3,0,1,0,0,0,0,0,0,0
Mozambique,3,4,3.5,PF,Republic of Mozambique,3,1,0,0,0,0,0,0,0,0
Namibia,2,2,2,F,Republic of Namibia,3,1,0,0,0,0,0,0,0,0
Nauru,1,1,1,F,Republic of Nauru,3,1,0,0,0,0,0,0,0,0
Nepal,5,4,4.5,PF,Nepal,1,0,0,0,0,0,0,0,0,0
Netherlands,1,1,1,F,Kingdom of the Netherlands,4,0,1,0,0,0,0,0,0,0
New Zealand,1,1,1,F,New Zealand,2,0,0,0,0,0,0,0,0,0
Nicaragua,3,3,3,PF,Republic of Nicaragua,3,1,0,0,0,0,0,0,0,0
Niger,3,3,3,PF,Republic of Niger,3,1,0,0,0,0,0,0,0,0
Nigeria,4,4,4,PF,Federal Republic of Nigeria,4,1,0,0,0,0,0,0,0,1
North Korea,7,7,7,NF,Democratic People's Republic of Korea,5,1,0,1,0,1,0,0,0,0
Norway,1,1,1,F,Kingdom of Norway,3,0,1,0,0,0,0,0,0,0
Oman,6,5,5.5,NF,Sultanate of Oman,3,0,0,0,0,0,0,0,0,0
Pakistan,6,5,5.5,NF,Islamic Republic of Pakistan,4,1,0,0,0,0,0,1,0,0
Palau,1,1,1,F,Republic of Palau,3,1,0,0,0,0,0,0,0,0
Panama,1,2,1.5,F,Republic of Panama,3,1,0,0,0,0,0,0,0,0
Papua New Guinea,3,3,3,PF,Independent State of Papua New Guinea,6,0,0,0,1,0,0,0,0,0
Paraguay,3,3,3,PF,Republic of Paraguay,3,1,0,0,0,0,0,0,0,0
Peru,2,3,2.5,F,Republic of Peru,3,1,0,0,0,0,0,0,0,0
Philippines,3,3,3,PF,Republic of the Philippines,4,1,0,0,0,0,0,0,0,0
Poland,1,1,1,F,Republic of Poland,3,1,0,0,0,0,0,0,0,0
Portugal,1,1,1,F,Portuguese Republic,2,1,0,0,0,0,0,0,0,0
Qatar,6,5,5.5,NF,State of Qatar,3,0,0,0,1,0,0,0,0,0
Romania,2,2,2,F,Romania,1,0,0,0,0,0,0,0,0,0
Russia,6,5,5.5,NF,Russian Federation,2,0,0,0,0,0,0,0,0,1
Rwanda,6,5,5.5,NF,Republic of Rwanda,3,1,0,0,0,0,0,0,0,0
Samoa,2,2,2,F,Independent State of Samoa,4,0,0,0,1,0,0,0,0,0
San Marino,1,1,1,F,Republic of San Marino,4,1,0,0,0,0,0,0,0,0
Sao Tome & Principe,2,2,2,F,Democratic Republic of Sao Tome and Principe,7,1,0,1,0,0,0,0,0,0
Saudi Arabia,7,6,6.5,NF,Kingdom of Saudi Arabia,4,0,1,0,0,0,0,0,1,0
Senegal,2,3,2.5,F,Republic of Senegal,3,1,0,0,0,0,0,0,0,0
Serbia,3,2,2.5,F,Republic of Serbia,3,1,0,0,0,0,0,0,0,0
Serbia & Montenegro,3,2,2.5,F,,-1,0,0,0,0,0,0,0,0,0
Seychelles,3,3,3,PF,Republic of Seychelles,3,1,0,0,0,0,0,0,0,0
Sierra Leone,4,3,3.5,PF,Republic of Sierra Leone,4,1,0,0,0,0,0,0,0,0
Singapore,5,4,4.5,PF,Republic of Singapore,3,1,0,0,0,0,0,0,0,0
Slovakia,1,1,1,F,Slovak Republic,2,1,0,0,0,0,0,0,0,0
Slovenia,1,1,1,F,Republic of Slovenia,3,1,0,0,0,0,0,0,0,0
Solomon Islands,4,3,3.5,PF,Solomon Islands,1,0,0,0,0,0,0,0,0,0
Somalia,7,7,7,NF,Somalia,1,0,0,0,0,0,0,0,0,0
South Africa,2,2,2,F,Republic of South Africa,4,1,0,0,0,0,0,0,0,0
South Korea,1,2,1.5,F,Republic of Korea,3,1,0,0,0,0,0,0,0,0
Spain,1,1,1,F,Kingdom of Spain,3,0,1,0,0,0,0,0,0,0
Sri Lanka,4,4,4,PF,Democratic Socialist Republic of Sri Lanka,6,1,0,1,0,0,0,0,0,0
St. Kitts & Nevis,1,1,1,F,,-1,0,0,0,0,0,0,0,0,0
St. Lucia,1,1,1,F,,-1,0,0,0,0,0,0,0,0,0
St. Vincent & Grenadines,2,1,1.5,F,,-1,0,0,0,0,0,0,0,0,0
Sudan,7,7,7,NF,Republic of the Sudan,4,1,0,0,0,0,0,0,0,0
Suriname,2,2,2,F,Republic of Suriname,3,1,0,0,0,0,0,0,0,0
Swaziland,7,5,6,NF,Kingdom of Swaziland,3,0,1,0,0,0,0,0,0,0
Sweden,1,1,1,F,Kingdom of Sweden,3,0,1,0,0,0,0,0,0,0
Switzerland,1,1,1,F,Swiss Confederation,2,0,0,0,0,0,0,0,0,1
Syria,7,6,6.5,NF,Syrian Arab Republic,3,1,0,0,0,0,0,0,1,0
Taiwan,2,1,1.5,F,Taiwan,1,0,0,0,0,0,0,0,0,0
Tajikistan,6,5,5.5,NF,Republic of Tajikistan,3,1,0,0,0,0,0,0,0,0
Tanzania,4,3,3.5,PF,United Republic of Tanzania,4,1,0,0,0,0,1,0,0,0
Thailand,7,4,5.5,NF,Kingdom of Thailand,3,0,1,0,0,0,0,0,0,0
Togo,6,5,5.5,NF,Togolese Republic,2,1,0,0,0,0,0,0,0,0
Tonga,5,3,4,PF,Kingdom of Tonga,3,0,1,0,0,0,0,0,0,0
Trinidad & Tobago,2,2,2,F,Republic of Trinidad and Tobago,5,1,0,0,0,0,0,0,0,0
Tunisia,6,5,5.5,NF,Tunisian Republic,2,1,0,0,0,0,0,0,0,0
Turkey,3,3,3,PF,Republic of Turkey,3,1,0,0,0,0,0,0,0,0
Turkmenistan,7,7,7,NF,Turkmenistan,1,0,0,0,0,0,0,0,0,0
Tuvalu,1,1,1,F,Tuvalu,1,0,0,0,0,0,0,0,0,0
Uganda,5,4,4.5,PF,Republic of Uganda,3,1,0,0,0,0,0,0,0,0
Ukraine,3,2,2.5,F,Ukraine,1,0,0,0,0,0,0,0,0,0
United Arab Emirates,6,5,5.5,NF,United Arab Emirates,3,0,0,0,0,0,1,0,1,0
United Kingdom,1,1,1,F,United Kingdom of Great Britain and Northern Ireland,8,0,1,0,0,0,1,0,0,0
United States,1,1,1,F,United States of America,4,0,0,0,1,0,1,0,0,0
Uruguay,1,1,1,F,Oriental Republic of Uruguay,4,1,0,0,0,0,0,0,0,0
USSR,..,..,#VALUE!,..,,-1,0,0,0,0,0,0,0,0,0
Uzbekistan,7,7,7,NF,Republic of Uzbekistan,3,1,0,0,0,0,0,0,0,0
Vanuatu,2,2,2,F,Republic of Vanuatu,3,1,0,0,0,0,0,0,0,0
Venezuela,4,4,4,PF,Bolivarian Republic of Venezuela,4,1,0,0,0,0,0,0,0,0
Vietnam,7,5,6,NF,Socialist Republic of Vietnam,4,1,0,0,0,0,0,0,0,0
"Vietnam, N.",..,..,#VALUE!,..,,-1,0,0,0,0,0,0,0,0,0
"Vietnam, S.",..,..,#VALUE!,..,,-1,0,0,0,0,0,0,0,0,0
Yemen,5,5,5,PF,Republic of Yemen,3,1,0,0,0,0,0,0,0,0
"Yemen, N.",..,..,#VALUE!,..,,-1,0,0,0,0,0,0,0,0,0
"Yemen, S.",..,..,#VALUE!,..,,-1,0,0,0,0,0,0,0,0,0
Yugoslavia,..,..,#VALUE!,..,,-1,0,0,0,0,0,0,0,0,0
Zambia,3,4,3.5,PF,Republic of Zambia,3,1,0,0,0,0,0,0,0,0
Zimbabwe,7,6,6.5,NF,Republic of Zimbabwe,3,1,0,0,0,0,0,0,0,0

